Date, WU_422, WV_423,WU_mean,WV_mean,WU_anom,WV_anom
4/8/16 0:00,-6.31872,-2.165739,-1.071265,-0.9583396,-5.247455,-1.2073994
4/9/16 0:00,-6.8761616,-3.4180846,-0.9705477,-0.7202807,-5.9056139,-2.6978039
4/10/16 0:00,-6.711914,-2.77779,-1.220815,-1.416145,-5.491099,-1.361645
4/11/16 0:00,-6.4477005,-2.3108752,-1.507706,-1.193347,-4.9399945,-1.1175282
4/12/16 0:00,-3.2334323,0.47782135,-1.620632,-1.175034,-1.6128003,1.65285535
4/13/16 0:00,-3.3849874,-2.0684538,-1.696933,-1.135358,-1.6880544,-0.9330958
4/14/16 0:00,-5.9020653,-2.5122757,-1.916679,-1.254387,-3.9853863,-1.2578887
4/15/16 0:00,-5.666605,-2.9373226,-2.17305,-1.211659,-3.493555,-1.7256636
4/16/16 0:00,-4.1398335,-2.3031292,-2.279872,-1.898367,-1.8599615,-0.4047622
4/17/16 0:00,-2.924465,-2.3228607,-2.267663,-2.151686,-0.656802,-0.1711747
4/18/16 0:00,-4.7963758,-3.8495808,-2.194415,-1.556539,-2.6019608,-2.2930418
4/19/16 0:00,-5.346965,-3.7049627,-2.118114,-0.8332061,-3.228851,-2.8717566
4/20/16 0:00,-5.4919376,-2.1621861,-2.054021,-0.9705477,-3.4379166,-1.1916384
4/21/16 0:00,-6.5751286,-1.4740069,-1.950252,-1.461926,-4.6248766,-0.0120809
4/22/16 0:00,-3.923318,-3.009728,-1.764077,-1.263543,-2.159241,-1.746185
4/23/16 0:00,-1.1503977,-3.1805077,-1.6481,-1.562643,0.4977023,-1.6178647
4/24/16 0:00,0.44220042,-2.1279454,-1.635892,-1.049901,2.07809242,-1.0780444
4/25/16 0:00,0.59849167,-2.1267242,-1.587059,-0.3631924,2.18555067,-1.7635318
4/26/16 0:00,-1.039072,-3.297338,-1.492446,-0.4700137,0.453374,-2.8273243
4/27/16 0:00,-0.5863056,-3.4233549,-1.559591,-0.3143598,0.9732854,-3.1089951
4/28/16 0:00,-0.004917145,-3.178919,-1.742713,-0.912559,1.737795855,-2.26636
4/29/16 0:00,-0.8801174,-3.3380923,-1.785442,-0.6775522,0.9053246,-2.6605401
4/30/16 0:00,-1.2765789,-3.1305218,-1.696933,-0.8667785,0.4203541,-2.2637433
5/1/16 0:00,-0.076566815,-3.5264103,-1.703037,-1.638944,1.626470185,-1.8874663
5/2/16 0:00,-0.012583971,-2.2375393,-1.925835,-1.556539,1.913251029,-0.6810003
5/3/16 0:00,-2.1493258,-2.1935568,-2.261559,-1.699985,0.1122332,-0.4935718
5/4/16 0:00,-2.875705,-2.23857,-2.450786,-1.361208,-0.424919,-0.877362
5/5/16 0:00,-2.3735046,-2.0073547,-2.447734,-0.7935296,0.0742294,-1.2138251
5/6/16 0:00,-1.9286022,-1.8474959,-2.383641,-0.7508011,0.4550388,-1.0966948
5/7/16 0:00,-2.5476117,-1.6600456,-2.365329,-0.8087898,-0.1822827,-0.8512558
5/8/16 0:00,-2.327365,-1.670929,-2.313444,-0.32962,-0.013921,-1.341309
5/9/16 0:00,-2.944043,-1.4708927,-2.154738,-0.4639096,-0.789305,-1.0069831
5/10/16 0:00,-3.4203203,2.4932642,-2.057073,-0.7599572,-1.3632473,3.2532214
5/11/16 0:00,-2.5022473,2.6720328,-2.063177,-0.576835,-0.4390703,3.2488678
5/12/16 0:00,-0.35478473,2.9445472,-2.041813,-0.3815046,1.68702827,3.3260518
5/13/16 0:00,1.1446911,3.1929579,-1.901419,-0.662292,3.0461101,3.8552499
5/14/16 0:00,2.4102743,1.4835683,-1.773234,-0.3448802,4.1835083,1.8284485
5/15/16 0:00,-2.4447553,-1.6960063,-1.794598,-0.4883259,-0.6501573,-1.2076804
5/16/16 0:00,-4.6468334,-2.314631,-1.907523,-0.16481,-2.7393104,-2.149821
5/17/16 0:00,-5.0960712,-1.2199032,-2.044865,-0.3631924,-3.0512062,-0.8567108
5/18/16 0:00,-4.912094,-1.2552145,-2.078437,-0.4272852,-2.833657,-0.8279293
5/19/16 0:00,-4.0035524,-0.74805486,-1.959408,-0.3540363,-2.0441444,-0.39401856
5/20/16 0:00,-1.8404651,-0.34643543,-1.736609,-0.3754005,-0.1038561,0.02896507
5/21/16 0:00,-2.5511127,-2.3511992,-1.611475,-0.1281856,-0.9396377,-2.2230136
5/22/16 0:00,-2.4485502,-0.4827838,-1.651152,-0.07324889,-0.7973982,-0.40953491
5/23/16 0:00,-2.0000982,0.88591063,-1.79765,-0.3479322,-0.2024482,1.23384283
5/24/16 0:00,-2.664743,0.36061513,-1.96246,-0.579887,-0.702283,0.94050213
5/25/16 0:00,-0.67185986,1.006757,-1.97772,-0.6287196,1.30586014,1.6354766
5/26/16 0:00,-2.548423,-0.14886904,-1.834274,-0.6897603,-0.714149,0.54089126
5/27/16 0:00,-1.8215946,0.59543014,-1.587059,-0.5463146,-0.2345356,1.14174474
5/28/16 0:00,-2.105946,0.40398717,-1.410041,-0.1312376,-0.695905,0.53522477
5/29/16 0:00,-4.426057,1.31143,-1.297116,0.07630093,-3.128941,1.23512907
5/30/16 0:00,-1.315536,-0.40847015,-1.242179,-0.2594231,-0.073357,-0.14904705
5/31/16 0:00,-0.9747267,-2.83335,-1.205555,-0.7141767,0.2308283,-2.1191733
6/1/16 0:00,-1.2468405,-3.4870086,-1.165878,-0.3448802,-0.0809625,-3.1421284
6/2/16 0:00,0.6980591,-2.1832848,-1.135358,-0.2105906,1.8334171,-1.9726942
6/3/16 0:00,0.8619406,-0.2541145,-1.13841,-0.3235159,2.0003506,0.0694014
6/4/16 0:00,2.7003634,2.0136514,-1.144514,-0.2838394,3.8448774,2.2974908
6/5/16 0:00,2.9545786,-3.3040106,-1.098733,-0.1739661,4.0533116,-3.1300445
6/6/16 0:00,0.5312656,1.0772691,-0.98886,-0.4455974,1.5201256,1.5228665
6/7/16 0:00,3.7320724,-0.22322059,-0.82405,-0.5493667,4.5561224,0.32614611
6/8/16 0:00,4.754235,0.19166565,-0.6928124,-0.3662444,5.4470474,0.55791005
6/9/16 0:00,4.3023434,1.3190689,-0.6928124,-0.2105906,4.9951558,1.5296595
6/10/16 0:00,1.2480575,0.84227765,-0.8576224,-0.3601404,2.1056799,1.20241805
6/11/16 0:00,1.3906223,2.3899906,-1.010224,-0.6897603,2.4008463,3.0797509
6/12/16 0:00,1.5796463,2.4092064,-1.092629,-0.9400274,2.6722753,3.3492338
6/13/16 0:00,3.8566346,3.0690365,-1.101785,-0.3357241,4.9584196,3.4047606
6/14/16 0:00,1.2526754,1.5000837,-1.065161,0.2624752,2.3178364,1.2376085
6/15/16 0:00,0.04599917,-0.8662971,-0.9827559,0.4242331,1.02875507,-1.2905302
6/16/16 0:00,-2.1568506,-0.5780883,-0.8667785,-0.09766518,-1.2900721,-0.48042312
6/17/16 0:00,-2.0706525,-0.022717237,-0.7691133,-0.32962,-1.3015392,0.306902763
6/18/16 0:00,-0.49642587,-1.565012,-0.6317717,-0.1770182,0.13534583,-1.3879938
6/19/16 0:00,1.2884852,2.6311455,-0.5066381,-0.082405,1.7951233,2.7135505
6/20/16 0:00,0.9519229,-1.432111,-0.4822218,-0.03662444,1.4341447,-1.39548656
6/21/16 0:00,-1.087856,-0.30666184,-0.5493667,0.1556539,-0.5384893,-0.46231574
6/22/16 0:00,-3.541721,2.9807248,-0.6043033,-0.2624752,-2.9374177,3.2432
6/23/16 0:00,-1.5257548,1.9758518,-0.6134594,-0.3265679,-0.9122954,2.3024197
6/24/16 0:00,1.743097,1.3167245,-0.6439798,0.1403937,2.3870768,1.1763308
6/25/16 0:00,0.8042358,0.9036815,-0.6195635,0.1220815,1.4237993,0.7816
6/26/16 0:00,1.5709536,1.1612413,-0.4669617,-0.02746833,2.0379153,1.18870963
6/27/16 0:00,2.1571584,1.350265,-0.3784526,-0.1403937,2.535611,1.4906587
6/28/16 0:00,-0.24000812,3.3753483,-0.4700137,0.4181291,0.23000558,2.9572192
6/29/16 0:00,0.94663095,-0.6750511,-0.6470318,0.1037693,1.59366275,-0.7788204
6/30/16 0:00,-3.0652869,-0.08277798,-0.7141767,0.01526019,-2.3511102,-0.09803817
7/1/16 0:00,-0.28716016,2.746224,-0.6378757,0.3357241,0.35071554,2.4104999
7/2/16 0:00,1.2837579,1.6598877,-0.5402105,-0.16481,1.8239684,1.8246977
7/3/16 0:00,-0.33327997,-1.7338578,-0.4761178,0.4333892,0.14283783,-2.167247
7/4/16 0:00,0.96591806,-2.5661793,-0.49443,0.4181291,1.46034806,-2.9843084
7/5/16 0:00,0.121328354,-2.0140052,-0.5371585,0.0579887,0.658486854,-2.0719939
7/6/16 0:00,-0.80205727,0.92799044,-0.5981992,0.3021517,-0.20385807,0.62583874
7/7/16 0:00,-0.85769033,1.9281049,-0.744697,-0.4761178,-0.11299333,2.4042227
7/8/16 0:00,-1.5768127,2.7163055,-1.010224,-0.1892263,-0.5665887,2.9055318
7/9/16 0:00,-2.0770948,1.8613096,-1.239127,-0.2563711,-0.8379678,2.1176807
7/10/16 0:00,0.27930772,1.6917839,-1.242179,-0.5707309,1.52148672,2.2625148
7/11/16 0:00,-0.4891019,2.7365637,-1.089577,-0.1281856,0.6004751,2.8647493
7/12/16 0:00,0.5903338,2.6728096,-0.9278193,-0.01220815,1.5181531,2.68501775
7/13/16 0:00,0.193699,4.9170923,-0.8118418,-0.009156111,1.0055408,4.926248411
7/14/16 0:00,1.1253723,3.1380887,-0.6989165,0.06714481,1.8242888,3.07094389
7/15/16 0:00,3.9794433,2.2516994,-0.6378757,0.6378757,4.617319,1.6138237
7/16/16 0:00,3.8922832,5.131414,-0.5646268,0.8789867,4.45691,4.2524273
7/17/16 0:00,4.977154,0.068490505,-0.4303372,0.5310544,5.4074912,-0.462563895
7/18/16 0:00,6.628478,0.060307026,-0.1892263,0.2868915,6.8177043,-0.226584474
7/19/16 0:00,4.5147896,-0.50184464,0.003052037,0.8576224,4.511737563,-1.35946704
7/20/16 0:00,-2.468274,-1.7810966,0.06409278,0.5127422,-2.53236678,-2.2938388
7/21/16 0:00,-3.8177104,-3.68017,-0.1007172,0.2838394,-3.7169932,-3.9640094
7/22/16 0:00,-2.651239,-3.9630237,-0.3082557,0.2624752,-2.3429833,-4.2254989
7/23/16 0:00,-2.832214,-3.9634209,-0.2899435,0.662292,-2.5422705,-4.6257129
7/24/16 0:00,-5.402858,-2.4640589,-0.05493667,0.7874255,-5.34792133,-3.2514844
7/25/16 0:00,-2.623168,-1.902239,0.2319548,-0.0244163,-2.8551228,-1.8778227
7/26/16 0:00,2.1072803,0.31007338,0.332672,0.2350069,1.7746083,0.07506648
7/27/16 0:00,1.7124349,0.38415718,0.1007172,0.2166946,1.6117177,0.16746258
7/28/16 0:00,4.277738,0.39939046,-0.3479322,0.5005341,4.6256702,-0.10114364
7/29/16 0:00,5.998555,0.33115208,-0.7904776,0.003052037,6.7890326,0.328100043
7/30/16 0:00,9.123581,-0.01869905,-1.095681,-0.5432626,10.219262,0.52456355
7/31/16 0:00,5.32848,4.181005,-1.056005,-0.0244163,6.384485,4.2054213
8/1/16 0:00,7.451953,4.5307198,-0.6256676,0.4089729,8.0776206,4.1217469
8/2/16 0:00,6.4456897,-4.3818917,-0.1709141,1.181138,6.6166038,-5.5630297
8/3/16 0:00,4.4436235,-1.2298301,-0.1556539,0.656188,4.5992774,-1.8860181
8/4/16 0:00,-4.0906734,-1.219028,-0.2868915,0.9186631,-3.8037819,-2.1376911
8/5/16 0:00,-8.435712,-0.55007386,-0.2166946,0.7904776,-8.2190174,-1.34055146
8/6/16 0:00,-7.633919,-1.2169548,-0.1709141,0.1129254,-7.4630049,-1.3298802
8/7/16 0:00,-4.233118,-2.4498272,-0.49443,0.9644437,-3.738688,-3.4142709
8/8/16 0:00,-1.7035984,-4.48788,-0.9003509,0.5981992,-0.8032475,-5.0860792
8/9/16 0:00,-2.5055299,-6.219101,-1.092629,0.2868915,-1.4129009,-6.5059925
8/10/16 0:00,-4.728434,-4.7989807,-1.001068,0.332672,-3.727366,-5.1316527
8/11/16 0:00,-5.909765,-1.3864702,-0.8515183,0.3601404,-5.0582467,-1.7466106
8/12/16 0:00,-4.745191,-3.3423355,-0.6195635,0.49443,-4.1256275,-3.8367655
8/13/16 0:00,-3.974074,-2.0799918,-0.2380589,-0.01526019,-3.7360151,-2.06473161
8/14/16 0:00,0.26604152,-1.7841377,0.2624752,1.281856,0.00356632,-3.0659937
8/15/16 0:00,4.7806277,-1.8892248,0.6409278,0.7843735,4.1396999,-2.6735983
8/16/16 0:00,5.500754,-1.5375413,0.7080726,0.2594231,4.7926814,-1.7969644
8/17/16 0:00,2.9406104,4.9327006,0.579887,-0.5981992,2.3607234,5.5308998
8/18/16 0:00,4.4162393,4.8006783,0.1892263,-0.4211811,4.227013,5.2218594
8/19/16 0:00,3.6800818,0.15518832,-0.4517015,-0.5707309,4.1317833,0.72591922
8/20/16 0:00,-3.8893971,-3.6431935,-0.8057377,-0.7385929,-3.0836594,-2.9046006
8/21/16 0:00,-5.22946,-4.019063,-0.7508011,-0.1587059,-4.4786589,-3.8603571
8/22/16 0:00,-0.4177842,-6.590843,-0.6348237,-0.2289028,0.2170395,-6.3619402
8/23/16 0:00,-4.0478325,-2.4712796,-1.00412,-0.1892263,-3.0437125,-2.2820533
8/24/16 0:00,-4.900427,0.56593335,-1.51381,-0.8911948,-3.386617,1.45712815
8/25/16 0:00,0.590719,8.35944,-1.696933,-0.8972989,2.287652,9.2567389
8/26/16 0:00,3.3091168,7.8889008,-1.645048,-1.245231,4.9541648,9.1341318
8/27/16 0:00,2.1076732,10.738309,-1.779338,-0.3052037,3.8870112,11.0435127
8/28/16 0:00,5.790043,0.37796032,-2.179154,0.16481,7.969197,0.21315032
8/29/16 0:00,-2.8878164,-1.9302559,-2.466046,-0.3570883,-0.4217704,-1.5731676
8/30/16 0:00,-5.113398,0.58260846,-2.444682,-0.9308712,-2.668716,1.51347966
8/31/16 0:00,1.3071307,-4.649069,-2.44163,-1.074317,3.7487607,-3.574752
9/1/16 3:00,-3.301272,-5.557497,-2.548451,-1.837326,-0.752821,-3.720171
9/2/16 3:00,-2.893423,-4.4241657,-2.527087,-1.135358,-0.366336,-3.2888077
9/3/16 3:00,-0.5493188,-3.3181703,-2.289028,-0.9980161,1.7397092,-2.3201542
9/4/16 3:00,1.5107651,-4.610113,-2.194415,-0.7294368,3.7051801,-3.8806762
9/5/16 3:00,-0.74725795,-8.207367,-2.243247,-0.4700137,1.49598905,-7.7373533
9/6/16 3:00,1.3326641,-4.4791155,-2.090645,-0.2044865,3.4233091,-4.274629
9/7/16 3:00,6.118026,-4.190446,-1.437509,-1.428353,7.555535,-2.762093
9/8/16 3:00,4.552346,2.3111024,-0.5218983,-1.66336,5.0742443,3.9744624
9/9/16 0:00,4.3551464,0.5917511,0.1037693,-0.9644437,4.2513771,1.5561948
9/10/16 0:00,-1.7626476,-3.2067165,0.3052037,-0.7019685,-2.0678513,-2.504748
9/11/16 0:00,-2.644743,-0.23170853,0.161758,-1.071265,-2.806501,0.83955647
9/12/16 0:00,-7.6071534,-3.7108097,-0.1587059,-0.4486494,-7.4484475,-3.2621603
9/13/16 0:00,-6.518961,-6.5582724,-0.6775522,0.07324889,-5.8414088,-6.63152129
9/14/16 0:00,2.731122,-3.1557827,-1.043797,0.4394933,3.774919,-3.595276
9/15/16 0:00,2.561912,-0.42541385,-1.092629,0.2411109,3.654541,-0.66652475
9/16/16 0:00,6.708234,4.342566,-0.9980161,0.01831222,7.7062501,4.32425378
9/17/16 0:00,6.827321,-1.2720714,-1.01938,-0.4333892,7.846701,-0.8386822
