[3J[H[2Jtime, , AT_21, WU_422, WV_423, depth, latitude, longitude
, , AIR TEMPERATURE (C), WIND U (M/S)             , WIND V (M/S)             , , , 
time, , C, m s-1, m s-1, m, degree_north, degree_west
2018-03-30 00:00:00, , -10.502411, -1.351729, 4.5986686, 10.0, 71.21263, 164.4151
2018-03-31 00:00:00, , -3.3857117, 2.3942237, 5.2830296, 10.0, 71.21263, 164.4151
2018-04-01 00:00:00, , -10.410309, 4.000147, -0.23251712, 10.0, 71.21263, 164.4151
2018-04-02 00:00:00, , -9.94986, -1.5504819, 2.5107079, 10.0, 71.21263, 164.4151
2018-04-03 00:00:00, , -11.934448, -2.8527336, -1.4007928, 10.0, 71.21263, 164.4151
2018-04-04 00:00:00, , -17.88092, -3.166479, -2.2850738, 10.0, 71.21263, 164.4151
2018-04-05 00:00:00, , -13.758087, -4.775038, -3.613224, 10.0, 71.21263, 164.4151
2018-04-06 00:00:00, , -16.51175, -4.5557137, -4.194217, 10.0, 71.21263, 164.4151
2018-04-07 00:00:00, , -14.887421, -5.3161526, -4.0858502, 10.0, 71.21263, 164.4151
2018-04-08 00:00:00, , -12.931183, -2.6501255, 0.4154867, 10.0, 71.21263, 164.4151
2018-04-09 00:00:00, , -11.323944, -3.2116547, -1.4804211, 10.0, 71.21263, 164.4151
2018-04-10 00:00:00, , -15.14975, -2.2168121, -2.0294833, 10.0, 71.21263, 164.4151
2018-04-11 00:00:00, , -14.277191, -0.6640949, -4.3025312, 10.0, 71.21263, 164.4151
2018-04-12 00:00:00, , -13.6892395, -0.59960246, -6.9047174, 10.0, 71.21263, 164.4151
2018-04-13 00:00:00, , -15.33374, 0.8812053, -2.7298005, 10.0, 71.21263, 164.4151
2018-04-14 00:00:00, , -14.351196, -1.5916983, -1.4861698, 10.0, 71.21263, 164.4151
2018-04-15 00:00:00, , -15.345093, -4.176388, 0.5632839, 10.0, 71.21263, 164.4151
2018-04-16 00:00:00, , -13.705139, -4.0594177, 0.0036621094, 10.0, 71.21263, 164.4151
2018-04-17 00:00:00, , -12.250183, -5.7090387, -0.7596569, 10.0, 71.21263, 164.4151
2018-04-18 00:00:00, , -11.682831, -7.262581, -1.2857876, 10.0, 71.21263, 164.4151
2018-04-19 00:00:00, , -12.900299, -4.67574, -1.7387675, 10.0, 71.21263, 164.4151
2018-04-20 00:00:00, , -12.792053, -1.4021004, -2.1600118, 10.0, 71.21263, 164.4151
2018-04-21 00:00:00, , -15.363831, -0.27582347, 0.65527976, 10.0, 71.21263, 164.4151
2018-04-22 00:00:00, , -11.86731, -0.009806037, 0.25069153, 10.0, 71.21263, 164.4151
2018-04-23 00:00:00, , -13.689545, -3.7090814, -0.43442655, 10.0, 71.21263, 164.4151
2018-04-24 00:00:00, , -13.024506, -5.454043, -2.2007263, 10.0, 71.21263, 164.4151
2018-04-25 00:00:00, , -9.615112, -4.7537994, -3.3007808, 10.0, 71.21263, 164.4151
2018-04-26 00:00:00, , -3.8049011, -2.5479527, 0.33962786, 10.0, 71.21263, 164.4151
2018-04-27 00:00:00, , -3.0798035, -2.825243, 0.51786935, 10.0, 71.21263, 164.4151
2018-04-28 00:00:00, , -5.3842163, -3.9513612, -0.77820206, 10.0, 71.21263, 164.4151
2018-04-29 00:00:00, , -5.790741, -4.9688997, -2.422742, 10.0, 71.21263, 164.4151
2018-04-30 00:00:00, , -6.8807983, -4.71721, -4.3578863, 10.0, 71.21263, 164.4151
2018-05-01 00:00:00, , -4.886688, -3.9426725, -3.9448962, 10.0, 71.21263, 164.4151
2018-05-02 00:00:00, , -5.815338, -1.6842245, -2.4780276, 10.0, 71.21263, 164.4151
2018-05-03 00:00:00, , -6.928131, -2.4526048, -0.76849604, 10.0, 71.21263, 164.4151
2018-05-04 00:00:00, , -9.648346, -3.0180721, -1.7196105, 10.0, 71.21263, 164.4151
2018-05-05 00:00:00, , -7.989319, -3.5509145, -3.3402145, 10.0, 71.21263, 164.4151
2018-05-06 00:00:00, , -7.679901, -2.635826, -2.1119874, 10.0, 71.21263, 164.4151
2018-05-07 00:00:00, , -8.258392, -2.2231932, -2.1983395, 10.0, 71.21263, 164.4151
2018-05-08 00:00:00, , -3.2131042, -1.4856554, 0.59136903, 10.0, 71.21263, 164.4151
2018-05-09 00:00:00, , -3.1019592, -3.193325, -1.2025055, 10.0, 71.21263, 164.4151
2018-05-10 00:00:00, , -2.4820862, -5.470589, -2.2820415, 10.0, 71.21263, 164.4151
2018-05-11 00:00:00, , -1.6130981, -6.0222726, -1.0246868, 10.0, 71.21263, 164.4151
2018-05-12 00:00:00, , -1.8076172, -0.887697, -1.0746888, 10.0, 71.21263, 164.4151
2018-05-13 00:00:00, , -0.41775513, -0.059144735, 0.116852045, 10.0, 71.21263, 164.4151
2018-05-14 00:00:00, , -0.7636719, -1.8902845, -0.23322368, 10.0, 71.21263, 164.4151
2018-05-15 00:00:00, , -0.35473633, -2.7904482, -0.3868755, 10.0, 71.21263, 164.4151
2018-05-16 00:00:00, , -2.1383972, -3.1916418, -1.0131899, 10.0, 71.21263, 164.4151
2018-05-17 00:00:00, , -3.153778, -4.1863003, -0.78426135, 10.0, 71.21263, 164.4151
