profile_number,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144
12.0,8.60900020599,8.43400001526,9.41199970245,7.42999982834,8.73499965668,9.28699970245,9.6639995575,8.10700035095,8.65900039673,9.31200027466,8.40900039673,10.6420001984,8.63399982452,8.83500003815,6.50099992752,7.8060002327,7.40500020981,7.75600004196,6.22499990463,8.45899963379,8.1829996109,8.08199977875,6.55100011826,7.10300016403,8.71000003815,4.92000007629,4.96999979019,4.99499988556,2.83599996567,1.45599997044,1.55599999428,0.879000008106,1.0039999485,0.978999972343,1.88300001621,1.0039999485,1.98300004005,5.64699983597,1.48099994659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,6.40100002289,7.37900018692,5.92399978638,7.32899999619,10.2159996033,10.892999649,12.6499996185,12.7259998322,13.001999855,10.767999649,10.1909999847,12.3990001678,12.2489995956,10.5170001984,11.1440000534,10.4670000076,11.6459999084,9.03600025177,12.8009996414,12.7510004044,10.390999794,10.0150003433,12.2489995956,13.3780002594,10.6680002213,11.7720003128,12.0979995728,10.6929998398,12.6000003815,11.7220001221,12.2740001678,10.8680000305,10.6680002213,11.420999527,11.3699998856,11.545999527,12.5749998093,11.9479999542,10.4670000076,10.1909999847,10.7430000305,12.3489999771,10.2910003662,11.3699998856,11.3699998856,11.9729995728,11.4709997177,11.998000145,11.4960002899,12.3990001678,11.6969995499,11.6969995499,11.6210002899,13.5290002823,10.5670003891,11.420999527,12.5,12.4499998093,11.6969995499,13.0769996643,11.2700004578,12.8260002136,12.2239999771,13.454000473,10.8680000305,13.126999855,12.5,11.7220001221,10.843000412,11.670999527,11.0439996719,12.0229997635,12.0229997635,11.8970003128,12.7510004044,11.7220001221,14.6330003738,12.3489999771,13.8050003052,13.6800003052,12.5249996185,14.9600000381,11.545999527,11.345000267,15.0100002289,11.7469997406,11.7720003128,11.8719997406,12.0229997635,13.3030004501,12.625,13.8549995422,11.2700004578,14.232000351,10.0399999619,11.2449998856,13.4029998779,13.8050003052,11.2700004578,12.8260002136,11.5959997177,13.779999733,11.7969999313,11.7220001221,11.1949996948,10.3660001755,12.5749998093,12.5500001907,14.3819999695,12.8760004044,11.5209999084,12.123000145,11.8219995499,11.7720003128,10.9689998627,13.7550001144,10.9440002441,11.545999527,12.1739997864,12.5500001907,12.5,12.0979995728,11.7969999313,13.1780004501,13.2030000687,12.7510004044,11.8719997406,14.1309995651,12.0729999542,10.9940004349,12.5749998093,11.4709997177,11.6459999084,12.8009996414,12.8009996414,11.3699998856,12.8260002136,13.2530002594,12.8760004044,14.1560001373,12.1739997864,11.2449998856,12.4750003815,11.6969995499,12.6000003815
14.0,12.7259998322,10.1649999619,7.98199987411,10.1649999619,9.33699989319,9.98999977112,12.6499996185,12.6750001907,8.9610004425,9.6639995575,9.86400032043,13.3280000687,13.2779998779,13.779999733,13.6800003052,13.2779998779,12.7510004044,12.1990003586,13.4029998779,13.1520004272,12.1990003586,13.6040000916,11.9729995728,13.0769996643,13.579000473,13.126999855,13.3529996872,12.0979995728,12.5500001907,13.3529996872,13.1520004272,12.0729999542,12.2740001678,12.9519996643,12.3489999771,12.2989997864,13.5039997101,12.5,13.8800001144,15.8129997253,12.8509998322,15.3859996796,12.8760004044,13.8549995422,14.3319997787,15.9130001068,13.5539999008,13.3780002594,12.6750001907,14.0810003281,12.5749998093,14.4329996109,13.2779998779,15.3859996796,15.6619997025,13.3030004501,14.8090000153,13.7550001144,11.7220001221,13.5039997101,14.0059995651,12.8009996414,14.1309995651,12.8760004044,13.4790000916,11.8470001221,12.5749998093,12.8509998322,14.5830001831,12.4250001907,12.4750003815,14.357000351,13.3030004501,15.2110004425,13.904999733,12.2239999771,12.625,11.2449998856,12.9270000458,14.1309995651,13.2030000687,12.5249996185,12.0229997635,12.6750001907,11.7469997406,12.2239999771,12.123000145,11.8719997406,11.5209999084,10.1909999847,9.11100006104,7.48000001907,7.42999982834,6.47599983215,6.72700023651,5.5720000267,5.52199983597,6.65199995041,5.14599990845,6.12400007248,5.97399997711,5.39699983597,5.24599981308,6.15000009537,5.09499979019,4.66900014877,6.65199995041,5.11999988556,5.92399978638,5.32100009918,6.22499990463,6.09899997711,4.92000007629,6.17500019073,5.74800014496,5.24599981308,7.40500020981,5.32100009918,4.94500017166,5.01999998093,4.16699981689,4.6939997673,1.93299996853,3.66499996185,2.6099998951,3.7650001049,2.46000003815,1.10399997234,1.20500004292,-0.0,,,,,,,,,,,,,,,
15.0,13.2279996872,13.5290002823,12.5,14.232000351,15.8629999161,15.3109998703,13.6800003052,16.013999939,14.3819999695,14.3070001602,15.1599998474,14.9340000153,14.0559997559,13.8050003052,13.6040000916,15.2860002518,13.6040000916,14.0810003281,14.2069997787,14.1059999466,16.188999176,17.1180000305,13.0520000458,9.01099967957,6.375,5.52199983597,6.60099983215,5.82299995422,4.8189997673,5.11999988556,5.11999988556,4.94500017166,5.59700012207,6.27500009537,5.69799995422,7.63000011444,3.94099998474,1.85699999332,2.35899996758,0.879000008106,1.40600001812,0.70300000906,0.753000020981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,13.9809999466,13.6800003052,12.3990001678,13.4280004501,14.2569999695,16.0890007019,13.8549995422,17.142999649,14.406999588,13.8800001144,13.4790000916,14.2069997787,14.1059999466,13.3529996872,16.188999176,13.9309997559,13.6289997101,13.7550001144,14.4329996109,15.1599998474,13.4790000916,13.5039997101,15.0349998474,16.3899993896,14.1809997559,13.2030000687,15.0349998474,13.5290002823,14.2069997787,12.0729999542,12.4750003815,13.001999855,12.3990001678,12.6750001907,12.625,11.7220001221,14.0559997559,14.0310001373,13.0270004272,13.3280000687,9.46300029755,10.6420001984,6.40100002289,7.63000011444,4.49300003052,3.48900008202,4.09100008011,4.01599979401,3.21300005913,3.48900008202,2.18400001526,2.35899996758,2.30900001526,2.46000003815,2.30900001526,1.53100001812,1.48099994659,0.70300000906,0.577000021935,0.377000004053,0.70300000906,0.628000020981,0.82800000906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,11.8470001221,13.3529996872,11.670999527,12.2239999771,10.9940004349,10.4919996262,11.0439996719,13.0520000458,11.420999527,12.0979995728,11.2950000763,12.2989997864,11.4460000992,10.8179998398,11.345000267,11.3950004578,10.5170001984,12.2740001678,11.6459999084,11.998000145,11.7469997406,12.0229997635,12.9270000458,12.2489995956,12.3489999771,13.126999855,12.7760000229,13.3280000687,13.454000473,14.1059999466,10.718000412,10.0150003433,13.3030004501,12.5500001907,10.6169996262,10.2410001755,11.1949996948,11.2950000763,11.9479999542,12.3489999771,10.7430000305,9.63799953461,11.0690002441,11.1190004349,14.357000351,12.1990003586,10.6420001984,10.5670003891,12.5,13.1520004272,9.7889995575,10.4169998169,10.9940004349,12.6000003815,12.3990001678,12.1739997864,11.3699998856,12.3240003586,11.9479999542,10.5670003891,12.1990003586,12.0229997635,12.5,11.998000145,11.5959997177,11.2700004578,11.7220001221,13.001999855,11.8470001221,10.3159999847,12.5249996185,12.2239999771,10.2910003662,11.0439996719,10.2410001755,13.4790000916,12.4499998093,11.8719997406,9.8140001297,10.9180002213,12.1990003586,14.1309995651,11.9479999542,9.96500015259,10.3409996033,12.3240003586,9.48799991608,10.3409996033,8.88500022888,8.98600006104,10.5419998169,10.5419998169,10.3660001755,7.35400009155,4.54300022125,3.63899993896,6.30000019073,4.14099979401,2.6099998951,6.07399988174,1.80700004101,1.20500004292,1.45599997044,1.48099994659,1.15499997139,1.23000001907,1.0039999485,1.25499999523,2.25900006294,2.25900006294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,10.9440002441,10.843000412,9.7889995575,10.6680002213,10.4169998169,9.7889995575,9.43799972534,10.6420001984,10.843000412,11.6969995499,12.8009996414,12.0979995728,10.9689998627,11.345000267,11.220000267,12.2489995956,11.2950000763,10.1909999847,11.4460000992,11.7969999313,10.5670003891,10.9940004349,12.625,11.6210002899,12.6000003815,9.83899974823,12.123000145,11.9479999542,10.6680002213,12.9770002365,8.73499965668,6.77699995041,4.09100008011,1.45599997044,2.30900001526,1.1289999485,1.17999994755,1.02900004387,1.07899999619,0.70300000906,1.05400002003,0.929000020027,1.85699999332,0.753000020981,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,10.390999794,10.1400003433,11.7220001221,9.76399993896,10.3660001755,11.545999527,13.001999855,11.6459999084,11.545999527,11.345000267,10.7430000305,10.4169998169,12.1739997864,11.8719997406,11.345000267,10.3159999847,11.2449998856,11.2449998856,10.265999794,10.8179998398,11.2449998856,10.7430000305,10.3159999847,13.1020002365,12.2989997864,11.420999527,12.1479997635,10.0900001526,8.13199996948,3.69000005722,1.78199994564,1.90799999237,2.05800008774,1.40600001812,1.15499997139,1.15499997139,0.929000020027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,11.5710000992,9.63799953461,11.2700004578,10.0399999619,12.5249996185,10.843000412,10.5920000076,11.6210002899,12.5,12.2740001678,9.71399974823,13.126999855,11.1190004349,10.718000412,9.73900032043,10.8179998398,9.16199970245,8.65900039673,9.93999958038,10.5920000076,11.2700004578,9.7889995575,10.6420001984,9.73900032043,10.390999794,8.03199958801,13.8549995422,12.2489995956,11.3699998856,15.9639997482,11.2700004578,11.545999527,6.65199995041,9.23700046539,9.58800029755,7.10300016403,6.15000009537,5.29600000381,3.74000000954,1.43099999428,1.85699999332,6.82700014114,2.33400011063,4.34200000763,1.80700004101,1.55599999428,3.94099998474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,10.767999649,9.28699970245,11.1440000534,9.46300029755,10.5920000076,11.8219995499,12.9010000229,9.6890001297,9.61299991608,9.98999977112,10.4169998169,12.4250001907,10.8179998398,10.2910003662,9.48799991608,10.3159999847,10.9440002441,10.5670003891,11.1700000763,11.5959997177,11.7220001221,9.13599967957,9.6639995575,9.28699970245,9.6639995575,8.78499984741,9.93999958038,11.2700004578,9.71399974823,10.1149997711,9.86400032043,10.2159996033,11.3950004578,10.6420001984,9.46300029755,11.8470001221,11.3950004578,9.93999958038,10.8680000305,9.43799972534,11.6210002899,10.5670003891,11.1949996948,9.03600025177,10.4169998169,10.9440002441,9.0860004425,12.0729999542,10.6169996262,9.51299953461,10.8179998398,8.98600006104,8.76000022888,7.90700006485,6.82700014114,6.30000019073,3.56399989128,1.55599999428,2.03299999237,1.1289999485,1.98300004005,1.30499994755,0.727999985218,0.879000008106,1.17999994755,0.628000020981,0.777999997139,1.20500004292,1.73199999332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
